SUPERIOR_PARIETAL_WM
CAUDATE_NUCLEUS
SUPERIOR_FRONTAL_WM
MIDDLE_FRONTAL_WM
INFERIOR_FRONTAL_WM
PRECENTRAL_WM
POSTCENTRAL_WM
ANGULAR_WM
PRE-CUNEUS_WM
CUNEUS_WM
LINGUAL_WM
FUSIFORM_WM
SUPERIOR_OCCIPITAL_WM
INFERIOR_OCCIPITAL_WM
MIDDLE_OCCIPITAL_WM
ENTORHINAL_AREA
SUPERIOR_TEMPORAL_WM
INFERIOR_TEMPORAL_WM
MIDDLE_TEMPORAL_WM
LATERAL_FRONTO-ORBITAL_WM
MIDDLE_FRONTO-ORBITAL_WM
SUPRAMARGINAL_WM
RECTUS_WM
AMYGDALA
HIPPOCAMPUS
PUTAMEN
Corticospinal_tract
Inferior_cerebellar_peduncle
Medial_lemniscus
Superior_cerebellar_peduncle
Cerebral_peduncle
Anterior_limb_of_internal_capsule
Posterior_limb_of_internal_capsule
Posterior_thalamic_radiation
Anterior_corona_radiata
Superior_corona_radiata
Posterior_corona_radiata
Cingulum_(cingulate_gyrus)
Cingulum_(hippocampus)
Fornix(cres)_Stria_terminalis
Superior_longitudinal_fasciculus
Superior_fronto-occipital_fasciculus
Inferior_fronto-occipital_fasciculus
Sagittal_stratum
External_capsule
Uncinate_fasciculus
Pontine_crossing_tract
Middle_cerebellar_peduncle
Fornix_(column_and_body)
Genu_of_corpus_callosum
Body_of_corpus_callosum
Splenium_of_corpus_callosum
Retrolenticular_part_of_internal_capsule
Tapatum
GLOBUS_PALLIDUS
THALAMUS
MIDBRAIN
PONS
MEDULLA
