Precentral
Frontal_Sup_2
Frontal_Mid_2
Frontal_Inf_Oper
Frontal_Inf_Tri
Frontal_Inf_Orb_2
Rolandic_Oper
Supp_Motor_Area
Olfactory
Frontal_Sup_Medial
Frontal_Med_Orb
Rectus
OFCmed
OFCant
OFCpost
OFClat
Insula
Cingulate_Ant
Cingulate_Mid
Cingulate_Post
Hippocampus
ParaHippocampal
Amygdala
Calcarine
Cuneus
Lingual
Occipital_Sup
Occipital_Mid
Occipital_Inf
Fusiform
Postcentral
Parietal_Sup
Parietal_Inf
SupraMarginal
Angular
Precuneus
Paracentral_Lobule
Caudate
Putamen
Pallidum
Thalamus
Heschl
Temporal_Sup
Temporal_Pole_Sup
Temporal_Mid
Temporal_Pole_Mid
Temporal_Inf
Cerebellum_Crus1
Cerebellum_Crus2
Cerebellum_3
Cerebellum_4_5
Cerebellum_6
Cerebellum_7b
Cerebellum_8
Cerebellum_9
Cerebellum_10
Vermis_1_2
Vermis_3
Vermis_4_5
Vermis_6
Vermis_7
Vermis_8
Vermis_9
Vermis_10
Thal_AV
Thal_LP
Thal_VA
Thal_VL
Thal_VPL
Thal_IL
Thal_Re
Thal_MDm
Thal_MDl
Thal_LGN
Thal_MGN
Thal_PuI
Thal_PuM
Thal_PuA
Thal_PuL
ACC_sub
ACC_pre
ACC_sup
N_Acc
VTA
SN_pc
SN_pr
Red_N
LC
Raphe_D
Raphe_M
