LGN
MGN
PuI
PuM
L-Sg
VPL
CM
VLa
PuA
MDm
Pf
VAmc
MD1
CeM
VA
MV(Re)
R
VM
CL
PuL
Pt
AV
Pc
VLp
LP
LD
